address,lat,lon
100 LIPPINCOTT ST,43.6579266,-79.4071056
101 ONTARIO ST,43.6545261,-79.3668494
101 Ontario St,43.6545261,-79.3668494
101 PLACER CRT,43.801919,-79.3413697
101 Placer Ct,43.801919,-79.3413697
1059 COLLEGE ST,43.6527199,-79.4308147
1059 College Street,43.6527199,-79.4308147
107 JARVIS ST,43.6522087,-79.372521
107 Jarvis St,43.6522087,-79.372521
1076 PAPE AVE,43.6907716,-79.3494964
1076 Pape Ave,43.6907716,-79.3494964
111 SPADINA RD,43.6711723,-79.4053915
1161 CALEDONIA RD,43.7156276,-79.4674122
1161 Caledonia Rd,43.7156276,-79.4674122
12 HOLMES AVE,43.7801232,-79.4036249
12 Holmes Ave,43.7801232,-79.4036249
1229 ELLESMERE RD,43.7685975,-79.2673747
1229 Ellesmere Rd,43.7685975,-79.2673747
126 PAPE AVE,43.6627837,-79.338277
129 PETER ST,43.6487433,-79.3931384
129 Peter St,43.6487433,-79.3931384
1322 BLOOR ST W,43.658377,-79.4432364
1322 Bloor St W,43.658377,-79.4432364
135 SHERBOURNE ST,43.6551774,-79.3694767
135 Sherbourne St,43.6551774,-79.3694767
136 SPADINA RD,43.6731024,-79.4066484
14 RONCESVALLES AVE,43.6390189,-79.4465143
14 Roncesvalles Ave,43.6390189,-79.4465143
14 VAUGHAN RD,43.6814254,-79.4183507
14 Vaughan Rd,43.6814254,-79.4183507
150 Sherbourne St,43.6554585,-79.3703783
155 Crawford St,43.6462454,-79.4149006
156 Sixth St,43.6022325,-79.5047835
158 MADISON AVE,43.6739775,-79.4057805
165 GRANGE AVE,43.6508959,-79.4013711
1651 SHEPPARD AVE W,43.742472,-79.4965543
1651 Sheppard Ave W,43.742472,-79.4965543
1677 WILSON AVE,43.7189286,-79.5148278
1677 Wilson Ave,43.7189286,-79.5148278
1684 Queen St E,43.6671883,-79.3134293
175 LYNDHURST AVE,43.682545,-79.4143905
179 GERRARD ST E,43.660887,-79.373341
18 FOURTEENTH ST,43.5997609,-79.5133059
180 Princes' Blvd,43.6339449,-79.4125255
185 YORKLAND BLVD,43.7713127,-79.3354933
185 Yorkland Blvd,43.7713127,-79.3354933
189B BOOTH AVE,43.6587325,-79.3429362
189B Booth Ave,43.6556003,-79.3416324
191 SPADINA RD,43.6735951,-79.4063176
195 PRINCES' BLVD,43.6325184,-79.4200876
195 Princes' Blvd,43.6325184,-79.4200876
1A STRACHAN AVE,43.6354438,-79.4087611
1A Strachan Ave,43.6354438,-79.4087611
20 GERRARD ST E,43.6594996,-79.3812268
